name,musicbrainz_artist_id,musicbrainz_mbid,spotify_id,performer_pre_normalized,first_top_20_hit_year,first_charting_song_year,last_charting_song_year,years_through_first_top_20_hit,#_of_charting_songs_through_first_top_20_hit,first_song_year,years_active_on_charts,first_charting_song_position,first_charting_song_duration,top_20_hit_song_#_wks_on_chart_any_position,genre_tags_musicbrainz,first_year_on_chart_songs,genre_tags_through_first_top_10_hit,major_genre_categories_through_first_top_10_hit,#_of_major_genre_categories_through_first_top_10_hit,musicbrainz_major_genre_categories,musicbrainz_#_of_genres,spotify_genres,spotify_major_genre_categories,combined_major_genre_categories,first_top_20_song_major_genres,first_top_20_song_duration_ms,first_top_20_song_acousticness,first_top_20_song_danceability,first_top_20_song_energy,first_top_20_song_instrumentalness,first_top_20_song_liveness,first_top_20_song_loudness,first_top_20_song_speechiness,first_top_20_song_tempo,first_top_20_song_valence,first_top_20_song_mode,first_top_20_song_explicit,degree_centrality_top20_rolling5,harmonic_closeness_centrality_top20_rolling5,betweenness_centrality_top20_rolling5,eigenvector_centrality_top20_rolling5,power_of_connected_artists_top20_rolling5,top_20_hitmaker
el gran combo,,,,El Gran Combo,,,,,,,2010-2010,0,0,,"salsa, latin, bolero",,,,0,Latin,1,,,Latin,,,,,,,,,,,,,,,,,,,
el tigrillo palma,1196782.0,5c2ce30b-8e38-4844-af81-17e06177ddda,,El Tigrillo Palma,,,,,,,2009-2009,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
el trono de mexico,,,,El Trono de Mexico,,,,,,,2008-2014,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
el vy,1265828.0,4137509d-f47e-4c4c-a9b1-bf50ff00a403,,EL VY,,,,,,,2015-2015,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
el-p,,,,EL-P,,,,,,,2002-2012,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
eladio carrion,1587139.0,239e3283-3b23-4606-8c3b-b5c3bd80313d,5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,,2023.0,2023.0,,,2023.0,2021-2025,80,1,,,2023.0,,,0,,0,"['trap boricua', 'trap latino', 'trap triste']",Latin,Latin,,,,,,,,,,,,,,,,,,,
elan & juelz santana,,,,Elan & Juelz Santana,,2008.0,2008.0,,,2008.0,2008-2008,60,8,,,2008.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
elastica,1094.0,46693641-1e2e-4aae-80ed-6b28170de63a,,Elastica,,1995.0,1995.0,,,1995.0,1995-1995,53,20,,"britpop, alternative rock, indie rock, pop punk",1995.0,,,0,"Punk/Hardcore, Rock",2,,,"Punk/Hardcore, Rock",,,,,,,,,,,,,,,,,,,
elbow,24330.0,3cb3928a-526c-4a3d-93c5-53315fa9bde0,0TJB3EE2efClsYIDQ8V2Jk,Elbow,,,,,,,2004-2017,0,0,,"indie rock, alternative rock, dream pop, rock, space rock revival, post-rock, chamber pop",,,,0,"Pop, Rock",2,"['britpop', 'chamber pop', 'indie rock', 'modern rock', 'rock']","Pop, Rock","Pop, Rock",,,,,,,,,,,,,,,,,,,
electric boys,108943.0,49cfde3d-2824-457e-997b-6955bae2db88,,Electric Boys,,1990.0,1990.0,,,1990.0,1990-1990,76,6,,"funk metal, glam metal",1990.0,,,0,Metal,1,,,Metal,,,,,,,,,,,,,,,,,,,
electric flag,,,,Electric Flag,,,,,,,1968-1969,0,0,,"psychedelic rock, blues rock, electric blues",,,,0,"Blues, Rock",2,,,"Blues, Rock",,,,,,,,,,,,,,,,,,,
electric light orchestra,2116.0,0c502791-4ee9-4c5f-9696-0602b721ff3b,7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,1974.0,1973.0,1986.0,2.0,4.0,1973.0,1972-2012,42,16,16.0,"progressive rock, art rock, symphonic prog, pop rock, symphonic rock, rock, pop, progressive, crossover prog, progressive pop",1973.0,"rock, progressive rock, progressive, art rock, classic rock, symphonic rock, symphonic prog","Experimental/Avant-Garde, Rock",2,"Experimental/Avant-Garde, Pop, Rock",3,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']","Experimental/Avant-Garde, Rock","Experimental/Avant-Garde, Pop, Rock",,261467.0,0.748,0.226,0.382,0.0084,0.131,-14.449,0.0281,169.146,0.33,1.0,0.0,,,,,,1.0
electric wizard,8531.0,da7d57e6-0619-4f0f-8d15-d0b4195c3f55,4htjQW3lgIwL6fEJlTOez4,Electric Wizard,,,,,,,2014-2014,0,0,,"doom metal, stoner metal, heavy psych, stoner rock, metal, drone, traditional doom metal",,,,0,"Electronic/Dance, Metal, Rock",3,"['doom metal', 'psychedelic doom', 'sludge metal', 'stoner metal', 'stoner rock', 'uk doom metal']","Metal, Rock","Electronic/Dance, Metal, Rock",,,,,,,,,,,,,,,,,,,
electrik red,584504.0,2cbf1a82-89e2-41ff-8a36-028531018c00,,Electrik Red,,,,,,,2009-2009,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
electronic,3277.0,3cdb360e-d0a2-459f-92f6-f0f28e62127d,,Electronic,,1990.0,1990.0,,,1990.0,1969-1996,38,12,,"new wave, synth-pop, ambient, drone, noise, sound art, experimental hip hop, bit music, graphical sound, data sonification",1990.0,,,0,"Electronic/Dance, Experimental/Avant-Garde, Hip Hop/Rap, Pop",4,,,"Electronic/Dance, Experimental/Avant-Garde, Hip Hop/Rap, Pop",,,,,,,,,,,,,,,,,,,
elephant man,20638.0,cd5f7bd9-ee6f-4a99-8dd9-dc3afd9da736,6NOvBZrkd83MSD51xkq4on,Elephant Man,,2003.0,2007.0,,,2003.0,2003-2007,86,13,,dancehall,2003.0,,,0,Reggae/Caribbean,1,"['dancehall', 'old school dancehall', 'reggae fusion', 'soca']",Reggae/Caribbean,Reggae/Caribbean,,,,,,,,,,,,,,,,,,,
elephant's memory,,,,Elephant's Memory,,1970.0,1972.0,,,1970.0,1969-1972,50,14,,,1970.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
elevation collective,1627994.0,583401ab-96ea-4b98-97e9-493afb2410f3,,Elevation Collective,,,,,,,2018-2018,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
elevation worship,848315.0,f3bb45c8-dcb3-4358-ab21-645e6d0935e4,3YCKuqpv9nCsIhJ2v8SMix,Elevation Worship,,,,,,,2011-2024,0,0,,"contemporary christian, praise & worship",,,,0,Gospel/Christian/Religious,1,"['ccm', 'christian music', 'world worship', 'worship']",,Gospel/Christian/Religious,,,,,,,,,,,,,,,,,,,
eleven,1502468.0,7fda12ce-d173-425b-be92-c8e373c12eb5,,Eleven,,,,,,,1974-1975,0,0,,"post-grunge, post-rock, instrumental, neurofunk, alternative metal, drum and bass, ambient, post-metal, post-rock, heavy metal",,,,0,"Easy Listening/Vocal, Electronic/Dance, Metal, Rock",4,,,"Easy Listening/Vocal, Electronic/Dance, Metal, Rock",,,,,,,,,,,,,,,,,,,
eli young band,323064.0,80737f69-60c5-4c0d-9562-88faf8d8f2f4,6eKWqnckwdIlSnjaYgIyxv,Eli Young Band,,2009.0,2019.0,,,2009.0,2008-2019,69,11,,country,2009.0,,,0,Country/Americana,1,"['contemporary country', 'country', 'country road', 'heartland rock', 'modern country rock', 'texas country']","Country/Americana, Rock","Country/Americana, Rock",,,,,,,,,,,,,,,,,,,
eliel,259733.0,c13473ce-0277-4eb9-a237-d34d8e488105,,Eliel,,,,,,,2005-2005,0,0,,"downtempo, instrumental, hip hop, lo-fi, boom bap, chillwave, instrumental hip hop, lo-fi hip hop, reggaeton",,,,0,"Easy Listening/Vocal, Electronic/Dance, Hip Hop/Rap, Latin, Rock",5,,,"Easy Listening/Vocal, Electronic/Dance, Hip Hop/Rap, Latin, Rock",,,,,,,,,,,,,,,,,,,
elisa fiorillo,199660.0,a97989eb-fd49-4b0b-9e4c-227e17c7f4c3,,Elisa Fiorillo,1987.0,1987.0,1991.0,1.0,1.0,1987.0,1987-1991,16,15,15.0,pop,1987.0,,,0,Pop,1,,,Pop,"Electronic/Dance, Hip Hop/Rap, Jazz, Latin, Pop, R&B/Soul/Funk, Rock",,,,,,,,,,,,,0.000456204379562,1.5,0.0,4.0099049341900237e-38,85.0,0.0
elizaveta,583875.0,d7686ac4-e73a-4ec8-a8a6-8f33c4af92a3,,Elizaveta,,,,,,,2012-2012,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
ella fitzgerald,1786.0,54799c0e-eb45-4eea-996d-c4d71a63c499,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,,1960.0,1963.0,,,1960.0,1960-2020,27,14,,"jazz, vocal jazz, swing, big band, pop, blues",1960.0,,,0,"Blues, Jazz, Pop",3,"['adult standards', 'jazz blues', 'swing', 'vocal jazz']","Easy Listening/Vocal, Jazz","Blues, Easy Listening/Vocal, Jazz, Pop",,,,,,,,,,,,,,,,,,,
ella henderson,933996.0,3a60a284-256b-4481-9c33-84d12ea481cd,7nDsS0l5ZAzMedVRKPP8F1,Ella Henderson,,2014.0,2014.0,,,2014.0,2014-2015,21,20,,"pop, dance-pop, club, pop soul, contemporary r&b, electronic",2014.0,,,0,"Electronic/Dance, Pop, R&B/Soul/Funk",3,"['dance pop', 'pop', 'pop dance', 'talent show', 'tropical house', 'uk pop']","Electronic/Dance, Pop","Electronic/Dance, Pop, R&B/Soul/Funk",,,,,,,,,,,,,,,,,,,
ella johnson,99600.0,c951bc1a-72bc-4efe-a013-c1a8c5b9e76b,,Ella Johnson,,1961.0,1961.0,,,1961.0,1961-1961,78,3,,jazz,1961.0,,,0,Jazz,1,,,Jazz,,,,,,,,,,,,,,,,,,,
ella langley,2415999.0,b16c0872-31a7-4db9-8569-0e3146fcecfc,,Ella Langley,2025.0,2024.0,2026.0,2.0,6.0,2024.0,2024-2026,30,24,16.0,country,2024.0,,,0,Country/Americana,1,,,Country/Americana,,,,,,,,,,,,,,,,,,,1.0
ella mai,1325612.0,89d42b97-8042-4c14-a596-a2ccaef5fc4c,7HkdQ0gt53LP4zmHsL0nap,Ella Mai,2018.0,2018.0,2025.0,1.0,3.0,2018.0,2018-2025,5,35,35.0,"pop, dance-pop, pop rap, contemporary r&b, alternative r&b, trap soul",2018.0,,,0,"Hip Hop/Rap, Pop, R&B/Soul/Funk",3,"['dance pop', 'pop', 'pop r&b', 'pop rap', 'r&b', 'uk contemporary r&b', 'urban contemporary']","Hip Hop/Rap, Pop, R&B/Soul/Funk","Hip Hop/Rap, Pop, R&B/Soul/Funk","Electronic/Dance, Jazz, Pop, R&B/Soul/Funk",256064.0,0.0862,0.561,0.779,0.0,0.078,-5.107,0.0531,81.965,0.235,0.0,0.0,0.0005476951163852,5057.768037517674,0.0006225078864024,0.0221654083328999,975.5,1.0
ella washington,141702.0,155bc7aa-09bf-4e04-8319-44457fcb4093,,Ella Washington,,1969.0,1969.0,,,1969.0,1969-1969,77,3,,soul,1969.0,,,0,R&B/Soul/Funk,1,,,R&B/Soul/Funk,,,,,,,,,,,,,,,,,,,
elle king,937968.0,e7287972-ca8d-4133-a1d6-5446486ed075,3bhu7P5PfngueRHiB9hjcx,Elle King,2015.0,2015.0,2021.0,1.0,1.0,2015.0,2015-2023,10,38,38.0,"blues rock, alternative country, americana, southern rock, country blues, pop soul, punk blues",2015.0,,,0,"Blues, Country/Americana, Pop, Punk/Hardcore, Rock",5,['modern blues rock'],,"Blues, Country/Americana, Pop, Punk/Hardcore, Rock",,202173.0,0.0183,0.612,0.921,0.0,0.0576,-2.879,0.0848,139.986,0.453,1.0,0.0,4.697040864255519e-05,3408.97283549737,0.0,2.6288458996273586e-05,,0.0
elle varner,769127.0,e05648ac-93c8-489f-b7a0-759e1001a6d9,7zmk5lkmCMVvfvwF3H8FWC,Elle Varner,,,,,,,2012-2012,0,0,,"soul, contemporary r&b, singer-songwriter",,,,0,"Folk, R&B/Soul/Funk",2,"['hip pop', 'neo soul', 'pop r&b', 'r&b', 'urban contemporary']","Hip Hop/Rap, R&B/Soul/Funk","Folk, Hip Hop/Rap, R&B/Soul/Funk",,,,,,,,,,,,,,,,,,,
ellen foley,53703.0,cebef2c4-a8b1-4c02-b4e1-1fd60a8e4af3,,Ellen Foley,,1979.0,1979.0,,,1979.0,1979-1979,92,4,,aor,1979.0,,,0,Rock,1,,,Rock,,,,,,,,,,,,,,,,,,,
ellen folly,,,,Ellen Folly,,,,,,,1979-1981,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
ellen harper,1113410.0,a2b6a2d8-5824-484e-b0ec-1490693c1a31,,Ellen Harper,,,,,,,2014-2014,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
ellen page,,,,Ellen Page,,2008.0,2008.0,,,2008.0,2008-2008,91,2,,,2008.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
elley duhe,1534760.0,de7efde3-b5db-456a-903a-df145c8b3fbd,67MNhiAICFY6Pwc2YxCO0K,Elley Duhe,,2018.0,2018.0,,,2018.0,2018-2018,90,1,,,2018.0,,,0,,0,"['alt z', 'pop']",Pop,Pop,,,,,,,,,,,,,,,,,,,
ellie goulding,656090.0,33ca19f4-18c8-4411-98df-ac23890ce9f5,0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,2011.0,2011.0,2019.0,1.0,1.0,2011.0,2011-2023,2,57,57.0,"electropop, dance-pop, indie pop, contemporary r&b, synth-pop, indie folk, club, edm, pop",2011.0,"pop, rock, electronic, synth-pop, indie pop, pop rock, electropop","Electronic/Dance, Pop, Rock",3,"Electronic/Dance, Folk, Pop, R&B/Soul/Funk",4,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']","Electronic/Dance, Pop","Electronic/Dance, Folk, Pop, R&B/Soul/Funk",Pop,244267.0,0.0721,0.703,0.731,0.00191,0.138,-6.283,0.0311,120.028,0.719,0.0,0.0,0.0002165908598657,3345.962445887177,0.000196384352603,0.000363675420981,165.0,1.0
ellie goulding & tarrus riley,,,,Ellie Goulding & Tarrus Riley,,2015.0,2015.0,,,2015.0,2015-2015,83,6,,,2015.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
ellie greenwich,105696.0,4c857e19-d9bb-460e-b3ec-2d1ea24c3247,,Ellie Greenwich,,1967.0,1967.0,,,1967.0,1967-1967,83,3,,,1967.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
ellie holcomb,829625.0,4687c208-023c-432d-8169-a22302367f5c,5hNiAUVPCTgcpy8vljCxzs,Ellie Holcomb,,,,,,,2014-2017,0,0,,,,,,0,,0,"['anthem worship', 'ccm', 'indiecoustica', 'roots worship']",,,,,,,,,,,,,,,,,,,,,
elliot easton,40002.0,f879a352-3687-42d5-af35-90d5dba72fdd,,Elliot Easton,,,,,,,1985-1985,0,0,,rock,,,,0,Rock,1,,,Rock,,,,,,,,,,,,,,,,,,,
elliott smith,47.0,03ad1736-b7c9-412a-b442-82536d63a5c4,,Elliott Smith,,,,,,,1998-2017,0,0,,"indie folk, indie rock, indie pop, acoustic rock, folk rock, singer-songwriter",,,,0,"Folk, Pop, Rock",3,,,"Folk, Pop, Rock",,,,,,,,,,,,,,,,,,,
elliott yamin,362353.0,f1c1963a-ba17-4c61-b4d5-344aec12e1c0,,Elliott Yamin,2007.0,2007.0,2007.0,1.0,2.0,2007.0,2007-2009,13,30,30.0,,2007.0,,,0,,0,,,,,261320.0,0.25,0.764,0.487,0.0,0.184,-6.734,0.0281,116.027,0.352,1.0,0.0,,,,,,0.0
ellison chase,324713.0,83cc854d-bd95-46db-938d-bf2a9d3aeb83,,Ellison Chase,,1976.0,1976.0,,,1976.0,1976-1976,92,3,,,1976.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
elmo,1570803.0,c3bd3141-d4a7-4705-822e-3808183ea783,,Elmo,,1967.0,1967.0,,,1967.0,1967-1967,98,2,,"blues, chicago blues, jazz, pop punk, electric blues, doo-wop, punk, jazz, celtic",1967.0,,,0,"Blues, Jazz, Punk/Hardcore, R&B/Soul/Funk, World Music",5,,,"Blues, Jazz, Punk/Hardcore, R&B/Soul/Funk, World Music",,,,,,,,,,,,,,,,,,,
elmo & patsy,77038.0,adcb6655-ba5c-4cf9-9d7a-94aaedbc478b,,Elmo & Patsy,,1998.0,1998.0,,,1998.0,1998-1998,87,1,,,1998.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
eloise laws,147586.0,5b6d7100-ffeb-45d4-a98a-087b760f493b,,Eloise Laws,,1978.0,1978.0,,,1978.0,1978-1981,91,6,,soul,1978.0,,,0,R&B/Soul/Funk,1,,,R&B/Soul/Funk,,,,,,,,,,,,,,,,,,,
elton anderson,631104.0,279f3bcb-a56b-44cd-9167-92836c81003d,,Elton Anderson,,1960.0,1960.0,,,1960.0,1960-1960,88,4,,swamp pop,1960.0,,,0,Country/Americana,1,,,Country/Americana,,,,,,,,,,,,,,,,,,,
elton john,236.0,b83bc61f-8451-4a5d-8b8e-7e9ed295e822,3PhoLpVuITZKcymswpck5b,Elton John,1970.0,1970.0,2022.0,1.0,2.0,1970.0,1970-2025,8,14,14.0,"pop, pop rock, piano rock, rock, singer-songwriter, soft rock, rock and roll, classic rock",1970.0,"rock, pop, singer-songwriter, classic rock, ballad, soft rock, pop rock","Folk, Pop, Rock",3,"Folk, Pop, Rock",3,"['glam rock', 'mellow gold', 'piano rock']",Rock,"Folk, Pop, Rock",,241787.0,0.828,0.554,0.315,5.53e-06,0.101,-11.028,0.0298,128.157,0.325,1.0,0.0,,,,,,1.0
elton john,236.0,b83bc61f-8451-4a5d-8b8e-7e9ed295e822,3PhoLpVuITZKcymswpck5b,Elton John,1970.0,1970.0,2022.0,1.0,2.0,1970.0,1970-2025,8,14,14.0,"pop, pop rock, piano rock, rock, singer-songwriter, soft rock, rock and roll, classic rock",1970.0,"rock, pop, singer-songwriter, classic rock, ballad, soft rock, pop rock","Folk, Pop, Rock",3,"Folk, Pop, Rock",3,"['glam rock', 'mellow gold', 'piano rock']",Rock,"Folk, Pop, Rock",,241787.0,0.828,0.554,0.315,5.53e-06,0.101,-11.028,0.0298,128.157,0.325,1.0,0.0,,,,,,1.0
elton john),236.0,b83bc61f-8451-4a5d-8b8e-7e9ed295e822,3PhoLpVuITZKcymswpck5b,Elton John),1970.0,1970.0,2022.0,1.0,2.0,1987.0,1987-1987,36,13,14.0,,1987.0,,,0,,0,"['glam rock', 'mellow gold', 'piano rock']",Rock,Rock,,241787.0,0.828,0.554,0.315,5.53e-06,0.101,-11.028,0.0298,128.157,0.325,1.0,0.0,,,,,,
elton john),236.0,b83bc61f-8451-4a5d-8b8e-7e9ed295e822,3PhoLpVuITZKcymswpck5b,Elton John),1970.0,1970.0,2022.0,1.0,2.0,1987.0,1987-1987,36,13,14.0,,1987.0,,,0,,0,"['glam rock', 'mellow gold', 'piano rock']",Rock,Rock,,241787.0,0.828,0.554,0.315,5.53e-06,0.101,-11.028,0.0298,128.157,0.325,1.0,0.0,,,,,,
elusion,518356.0,4ba58571-b706-4cfc-bbf9-ab6316752100,,Elusion,,1998.0,1998.0,,,1998.0,1998-1998,75,11,,"brutal death metal, crossover prog, indietronica",1998.0,,,0,"Metal, Rock",2,,,"Metal, Rock",,,,,,,,,,,,,,,,,,,
eluveitie,224039.0,8000598a-5edb-401c-8e6d-36b167feaf38,,Eluveitie,,,,,,,2012-2014,0,0,,"folk metal, melodic death metal, celtic metal, metal, medieval metal",,,,0,Metal,1,,,Metal,,,,,,,,,,,,,,,,,,,
elvie shane,2037164.0,cb112ae8-4e88-4622-9ac8-8cdf37039806,,Elvie Shane,,2021.0,2021.0,,,2021.0,2021-2021,28,19,,,2021.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
elvin bishop,30416.0,b1768592-294e-4e15-a892-eb8837dec3e4,2G1yVp387GlUf9yvLk6V11,Elvin Bishop,1976.0,1974.0,1976.0,3.0,5.0,1974.0,1974-1977,61,6,17.0,"blues, blues rock, country rock, blue-eyed soul, rock, southern rock, blues, blues rock, southern rock, blue-eyed soul",1974.0,"rock, blues rock, southern rock, classic rock",Rock,1,"Blues, R&B/Soul/Funk, Rock",3,"['blues rock', 'country rock', 'electric blues', 'modern blues', 'southern rock']","Blues, Rock","Blues, R&B/Soul/Funk, Rock",,276000.0,0.042,0.633,0.621,0.0172,0.186,-11.494,0.0313,113.325,0.593,1.0,0.0,0.001453488372093,13.903968253968245,0.0,3.563284459063848e-21,99.5,0.0
elvis costello,1517.0,8a338e06-d182-46f2-bd16-30a09bc840ba,2BGRfQgtzikz1pzAD0kaEn,Elvis Costello,1989.0,1984.0,1989.0,6.0,2.0,1984.0,1977-2013,56,9,14.0,"new wave, pub rock, pop, singer-songwriter, pop rock, new wave, singer-songwriter, country, power pop, pop rock",1984.0,,,0,"Country/Americana, Folk, Pop, Rock",4,"['art rock', 'folk', 'folk rock', 'mellow gold', 'new wave pop', 'permanent wave', 'power pop', 'pub rock', 'rock', 'roots rock', 'singer-songwriter']","Experimental/Avant-Garde, Folk, Pop, Rock","Country/Americana, Experimental/Avant-Garde, Folk, Pop, Rock","Electronic/Dance, Hip Hop/Rap, Pop, Rock",189507.0,0.128,0.63,0.757,4.9e-05,0.355,-6.731,0.0359,153.989,0.737,1.0,0.0,0.0017531556802244,242.50876484626215,0.0019765943672683,9.099592031856313e-08,131.0,0.0
elvis costello & the imposters,183415.0,a3e6fa6e-32de-4152-ae38-81291597a10c,,Elvis Costello & The Imposters,,,,,,,2002-2022,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
elvis costello and the attractions,,,,Elvis Costello And The Attractions,,1983.0,1983.0,,,1983.0,1981-1996,36,14,,,1983.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
elvis crespo,11680.0,776b2c10-31fe-4c4b-9982-f408279b80a9,,Elvis Crespo,,1998.0,1998.0,,,1998.0,1998-2004,84,2,,"merengue, latin",1998.0,,,0,Latin,1,,,Latin,,,,,,,,,,,,,,,,,,,
elvis perkins,420289.0,ca2f9ff7-c53d-4b8b-a687-a5001ce5fcf6,,Elvis Perkins,,,,,,,2009-2009,0,0,,"rock, country",,,,0,"Country/Americana, Rock",2,,,"Country/Americana, Rock",,,,,,,,,,,,,,,,,,,
elvis presley,1539.0,01809552-4f87-45b0-afff-2c6f0730a3be,43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,1958.0,1958.0,2019.0,1.0,4.0,1958.0,1958-2024,4,8,8.0,"rockabilly, rock and roll, rock, pop, country, blue-eyed soul, blues, gospel, r&b",1958.0,,,0,"Blues, Country/Americana, Gospel/Christian/Religious, Pop, R&B/Soul/Funk, Rock",6,"['adult standards', 'rock-and-roll', 'rockabilly']","Easy Listening/Vocal, Rock","Blues, Country/Americana, Easy Listening/Vocal, Gospel/Christian/Religious, Pop, R&B/Soul/Funk, Rock",,113480.0,0.842,0.61,0.699,1.85e-06,0.501,-8.739,0.176,97.924,0.859,1.0,0.0,0.0046801872074883,3.0,1.875e-05,9.205486220331512e-32,97.0,1.0
elvis presley vs jxl,,,,Elvis Presley vs JXL,,2002.0,2002.0,,,2002.0,2002-2002,50,9,,,2002.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
em beihold,2175012.0,7575e3b8-ba04-4acc-a895-9cc528f86525,,Em Beihold,2022.0,2022.0,2022.0,1.0,1.0,2022.0,2022-2022,18,32,32.0,"pop, singer-songwriter, teen pop",2022.0,,,0,"Folk, Pop",2,,,"Folk, Pop","Easy Listening/Vocal, Electronic/Dance, Hip Hop/Rap, Pop",,,,,,,,,,,,,4.256768261535842e-05,3002.9174936177496,0.0,3.862675199565611e-07,78.0,0.0
emarosa,430943.0,4b4b24bb-a553-4726-8c4d-a571a881fe59,,Emarosa,,,,,,,2008-2019,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
emblem3,998839.0,2ff61fb7-cf59-4a82-a15c-fa24dc8b16d0,,Emblem3,,2013.0,2013.0,,,2013.0,2013-2014,93,3,,,2013.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
emeli sande,672447.0,7cfaac66-62e5-4fcd-af1b-9d3aa8f68e8b,7sfgqEdoeBTjd8lQsPT3Cy,Emeli Sande,,2013.0,2013.0,,,2013.0,2012-2016,25,20,,,2013.0,,,0,,0,"['dance pop', 'neo soul', 'pop', 'r&b', 'uk pop']","Pop, R&B/Soul/Funk","Pop, R&B/Soul/Funk",,,,,,,,,,,,,,,,,,,
emerson drive,65864.0,5eba17b9-f67a-48e0-abc3-b9b0e98588b5,,Emerson Drive,,2002.0,2007.0,,,2002.0,2002-2007,34,20,,country,2002.0,,,0,Country/Americana,1,,,Country/Americana,,,,,,,,,,,,,,,,,,,
"emerson, lake & palmer",3515.0,ad996aef-cc1c-42ac-af5c-619c370f4b8a,0nCiidE5GgDrc5kWN3NZgZ,"Emerson, Lake & Palmer",,1971.0,1972.0,,,1971.0,1971-1992,48,19,,"progressive rock, symphonic prog, art rock, pop rock, symphonic rock, aor, classic rock, folk rock, rock",1971.0,,,0,"Experimental/Avant-Garde, Pop, Rock",3,"['album rock', 'art rock', 'classic rock', 'hard rock', 'jazz fusion', 'progressive rock', 'rock', 'symphonic rock']","Experimental/Avant-Garde, Jazz, Rock","Experimental/Avant-Garde, Jazz, Pop, Rock",,,,,,,,,,,,,,,,,,,
"emerson, lake & powell",21717.0,9a78e16a-2e3b-44b5-8aee-4546f4f4177f,,"Emerson, Lake & Powell",,1986.0,1986.0,,,1986.0,1986-1986,60,8,,,1986.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
emery,2388003.0,51b631af-5108-4e81-a0dd-bea4312272a0,,Emery,,,,,,,2005-2018,0,0,,"trance, electronic, post-hardcore",,,,0,"Electronic/Dance, Punk/Hardcore",2,,,"Electronic/Dance, Punk/Hardcore",,,,,,,,,,,,,,,,,,,
emf,1571.0,26f94a6a-d60a-4bcc-a130-ce0e77122bd7,39oSLGo3HkaeYXzUEGgAGQ,EMF,1991.0,1991.0,1991.0,1.0,2.0,1991.0,1991-1991,1,23,23.0,"indie rock, grebo, alternative rock",1991.0,,,0,"Punk/Hardcore, Rock",2,"['britpop', 'dance rock', 'grebo', 'indietronica', 'madchester']","Punk/Hardcore, Rock","Punk/Hardcore, Rock",,209813.0,0.000341,0.637,0.849,0.0386,0.141,-6.855,0.0362,104.074,0.936,1.0,1.0,,,,,,1.0
emh,1928357.0,0c01cac7-5430-4efa-a3dd-52eb6789c1d2,,Emh,,,,,,,2014-2014,0,0,,"death metal, black metal, thrash metal",,,,0,Metal,1,,,Metal,,,,,,,,,,,,,,,,,,,
emilee,3145364.0,569934af-885d-4e53-a6b9-2f90eb90c150,,Emilee,,2020.0,2020.0,,,2020.0,2020-2020,23,28,,dance,2020.0,,,0,Electronic/Dance,1,,,Electronic/Dance,,,,,,,,,,,,,,,,,,,
emilia,1877396.0,0d5a1ad3-eaac-4aed-9ca2-96293cf6a2f4,0AqlFI0tz2DsEoJlKSIiT9,Emilia,,1998.0,1998.0,,,1998.0,1998-1998,92,2,,"folk pop, traditional pop, folk, vallenato, classical",1998.0,,,0,"Classical, Folk, Pop",3,[],,"Classical, Folk, Pop",,,,,,,,,,,,,,,,,,,
emilio,594952.0,9be6d6ad-950d-45d3-825c-9408f82c7c8d,,Emilio,,,,,,,1995-1995,0,0,,"tango, tango, ranchera, regional mexicano, pop, r&b",,,,0,"Latin, Pop, R&B/Soul/Funk",3,,,"Latin, Pop, R&B/Soul/Funk",,,,,,,,,,,,,,,,,,,
